TIMESTAMP	ACCX	ACCY	ACCZ
1653460146171	-0.21143	0.23486	3.88086
1653460146229	-0.19189	0.21191	3.90186
1653460146274	-0.18359	0.24316	3.89160
1653460146320	-0.19043	0.23389	3.87109
1653460146380	-0.20947	0.23193	3.86816
1653460146424	-0.19824	0.22021	3.88867
1653460146484	-0.19678	0.22314	3.88721
1653460146530	-0.20459	0.22559	3.89551
1653460146575	-0.16260	0.25391	3.88428
1653460146619	-0.20605	0.21338	3.87598
1653460146679	-0.19678	0.22168	3.86523
1653460146739	-0.21094	0.25879	3.87842
1653460146785	-0.16260	0.22559	3.84326
1653460146859	-0.21143	0.23389	3.86230
1653460146919	-0.19189	0.22168	3.85791
1653460146949	-0.21973	0.21484	3.86475
1653460146995	-0.20605	0.22559	3.89063
1653460147099	-0.20850	0.22803	3.88281
1653460147145	-0.18018	0.23193	3.89307
1653460147192	-0.20850	0.23633	3.87891
1653460147234	-0.19189	0.19971	3.87793
1653460147279	-0.20215	0.22559	3.89502
1653460147323	-0.19678	0.22705	3.88232
1653460147459	-0.19238	0.23535	3.88330
1653460147473	-0.19531	0.22314	3.88525
1653460147533	-0.19971	0.21875	3.89063
1653460147578	-0.19287	0.25000	3.87109
1653460147623	-0.19531	0.24316	3.88818
1653460147684	-0.22998	0.21826	3.88965
1653460147728	-0.20215	0.20996	3.88818
1653460147788	-0.19043	0.22559	3.89355
1653460147834	-0.20313	0.22803	3.88086
1653460147880	-0.18848	0.22168	3.87842
1653460147938	-0.19141	0.20801	3.87939
1653460147971	-0.20605	0.22021	3.88477
1653460148030	-0.20313	0.21338	3.86670
1653460148076	-0.21631	0.23389	3.88232
1653460148133	-0.19043	0.22168	3.87891
1653460148178	-0.20459	0.21484	3.86963
1653460148224	-0.23438	0.23486	3.85010
1653460148298	-0.19238	0.22998	3.86426
1653460148329	-0.20605	0.22803	3.89209
1653460148406	-0.20605	0.19629	3.88770
1653460148493	-0.21094	0.22559	3.89551
1653460148557	-0.20605	0.22559	3.89893
1653460148572	-0.21631	0.23633	3.89258
1653460148779	-0.20996	0.24854	3.89209
1653460148900	-0.20850	0.22314	3.86914
1653460148928	-0.19678	0.22168	3.88232
1653460148976	-0.19971	0.22168	3.87939
1653460149094	-0.19141	0.22705	3.87598
1653460149170	-0.19287	0.23486	3.87939
1653460149292	-0.18994	0.22803	3.86670
1653460149349	-0.17676	0.23877	3.88232
1653460149378	-0.23584	0.21875	3.88916
1653460149454	-0.19287	0.20801	3.84863
1653460149499	-0.20605	0.22998	3.86621
1653460149605	-0.19971	0.19824	3.89990
1653460149723	-0.19043	0.22314	3.89844
1653460149771	-0.17041	0.20654	3.87793
1653460149844	-0.20166	0.22021	3.87158
1653460149933	-0.19287	0.23389	3.87842
1653460149978	-0.17969	0.21631	3.85889
1653460150024	-0.21631	0.23486	3.88477
1653460150069	-0.20850	0.22705	3.86914
1653460150128	-0.20215	0.23389	3.88037
1653460150174	-0.20850	0.20508	3.89209
1653460150221	-0.19775	0.24170	3.87158
1653460150293	-0.18018	0.22314	3.88721
1653460150324	-0.19141	0.22803	3.84375
1653460150384	-0.19775	0.24316	3.89404
1653460150459	-0.19971	0.22998	3.88867
1653460150474	-0.21533	0.22021	3.85986
1653460150519	-0.19775	0.23389	3.87500
1653460150578	-0.20166	0.24023	3.89551
1653460150623	-0.20850	0.20313	3.90381
1653460150669	-0.20996	0.22314	3.86670
1653460150728	-0.20215	0.20313	3.87305
1653460150774	-0.21631	0.22168	3.87158
1653460150833	-0.19287	0.23486	3.88672
1653460150879	-0.20361	0.22314	3.88818
1653460150939	-0.20605	0.21875	3.86621
1653460150969	-0.21533	0.24316	3.85352
1653460151044	-0.20605	0.23633	3.87598
1653460151075	-0.20605	0.18262	3.87891
1653460151121	-0.18506	0.21875	3.86865
1653460151179	-0.17334	0.23193	3.87256
1653460151224	-0.21777	0.19971	3.87842
1653460151270	-0.17676	0.22705	3.86963
1653460151329	-0.19678	0.23877	3.87451
1653460151374	-0.19922	0.22168	3.85889
1653460151419	-0.19824	0.21631	3.87891
1653460151478	-0.19287	0.22314	3.85596
1653460151524	-0.19385	0.21436	3.84619
1653460151570	-0.19189	0.22803	3.86475
1653460151629	-0.19971	0.20654	3.89990
1653460151674	-0.19287	0.20996	3.89746
1653460151720	-0.17871	0.21973	3.87744
1653460151778	-0.18896	0.22314	3.88232
1653460151824	-0.18359	0.22021	3.87451
1653460151869	-0.18848	0.22314	3.88232
1653460151929	-0.19775	0.22705	3.86523
1653460151975	-0.19287	0.22705	3.87939
1653460152020	-0.20313	0.23486	3.85498
1653460152079	-0.19043	0.21191	3.89844
1653460152124	-0.19678	0.20996	3.88477
1653460152170	-0.18604	0.20313	3.88477
1653460152229	-0.20850	0.20801	3.87598
1653460152274	-0.21631	0.20996	3.87256
1653460152320	-0.20557	0.23730	3.87891
1653460152379	-0.22412	0.20508	3.86963
1653460152424	-0.21240	0.22168	3.89258
1653460152500	-0.20313	0.22705	3.89404
1653460152559	-0.21777	0.23389	3.90381
1653460152603	-0.19971	0.23486	3.88574
1653460152650	-0.19043	0.24561	3.90137
1653460152740	-0.18994	0.20117	3.88916
1653460152828	-0.18994	0.23389	3.88232
1653460152918	-0.19971	0.19287	3.89453
1653460152963	-0.20313	0.22314	3.91455
1653460153009	-0.21777	0.22705	3.87305
1653460153038	-0.17871	0.22168	3.87939
1653460153099	-0.18213	0.22559	3.90723
1653460153129	-0.19971	0.22803	3.88867
1653460153188	-0.20605	0.20801	3.86670
1653460153233	-0.17334	0.21875	3.86963
1653460153294	-0.20947	0.23193	3.88232
1653460153324	-0.21484	0.23633	3.86963
1653460153399	-0.19141	0.21484	3.88916
1653460153429	-0.19287	0.23877	3.87598
1653460153473	-0.19824	0.23486	3.87402
1653460153533	-0.20605	0.22168	3.85303
1653460153578	-0.19678	0.20654	3.88037
1653460153624	-0.20850	0.22998	3.87158
1653460153683	-0.20215	0.21191	3.89355
1653460153728	-0.18506	0.18506	3.85498
1653460153775	-0.19531	0.23486	3.88623
1653460153833	-0.20361	0.21338	3.87402
1653460153878	-0.18652	0.24170	3.86670
1653460153923	-0.19287	0.22998	3.89111
1653460153969	-0.20215	0.24023	3.90137
1653460154028	-0.18359	0.22021	3.87744
1653460154074	-0.19678	0.23193	3.85498
1653460154133	-0.13770	0.19824	3.81104
1653460154178	-0.21143	0.24316	3.88574
1653460154224	-0.20996	0.21338	3.86719
1653460154268	-0.21631	0.20996	3.85449
1653460154328	-0.19775	0.21338	3.90186
1653460154375	-0.19287	0.24561	3.88086
1653460154421	-0.22803	0.21631	3.87793
1653460154478	-0.19287	0.22314	3.94043
1653460154524	-0.22803	0.21484	3.86035
1653460154569	-0.20459	0.23193	3.87842
1653460154628	-0.16846	0.23193	3.89551
1653460154674	-0.22607	0.22705	3.88086
1653460154719	-0.18848	0.19629	3.86963
1653460154779	-0.19824	0.21631	3.88867
1653460154823	-0.18994	0.23633	3.88770
1653460154869	-0.20166	0.20801	3.88477
1653460154928	-0.18018	0.22998	3.87402
1653460154974	-0.19824	0.23633	3.86768
1653460155034	-0.17822	0.20801	3.88232
1653460155078	-0.20850	0.23389	3.88867
1653460155139	-0.21924	0.25732	3.86621
1653460155170	-0.20947	0.22021	3.86914
1653460155228	-0.18506	0.23389	3.87402
1653460155289	-0.20947	0.22314	3.85205
1653460155319	-0.20947	0.24023	3.87842
1653460155393	-0.18506	0.23193	3.88086
1653460155453	-0.20215	0.22998	3.91162
1653460155469	-0.22461	0.22998	3.87939
1653460155544	-0.21777	0.24316	3.87842
1653460155578	-0.18652	0.22510	3.86670
1653460155619	-0.19971	0.25879	3.89014
1653460155693	-0.20459	0.23389	3.89746
1653460155724	-0.20459	0.22168	3.86768
1653460155769	-0.19727	0.22803	3.88574
1653460155843	-0.18506	0.21191	3.87256
1653460155888	-0.19141	0.22168	3.89258
1653460155919	-0.20605	0.22998	3.88086
1653460155994	-0.20361	0.23193	3.85010
1653460156024	-0.20605	0.24316	3.88184
1653460156085	-0.19678	0.22314	3.90039
1653460156158	-0.18994	0.24707	3.87451
1653460156174	-0.19678	0.24170	3.89014
1653460156219	-0.18896	0.24854	3.88867
1653460156278	-0.19678	0.22559	3.88916
1653460156339	-0.20459	0.22998	3.86621
1653460156370	-0.20166	0.20801	3.88916
1653460156429	-0.17188	0.22314	3.89404
1653460156473	-0.20166	0.22314	3.86279
1653460156519	-0.18018	0.21191	3.86914
1653460156594	-0.17529	0.22705	3.84863
1653460156623	-0.20605	0.22168	3.89063
1653460156669	-0.20361	0.22168	3.87598
1653460156729	-0.19531	0.23633	3.87305
1653460156776	-0.19531	0.22803	3.87939
1653460156820	-0.19141	0.22314	3.87598
1653460156878	-0.18604	0.21875	3.86279
1653460156923	-0.18506	0.23389	3.86182
1653460156969	-0.18213	0.22705	3.86230
1653460157029	-0.17529	0.22168	3.87891
1653460157074	-0.19531	0.21338	3.86279
1653460157120	-0.21631	0.22803	3.87158
1653460157179	-0.18848	0.19971	3.84375
1653460157223	-0.18994	0.21338	3.86182
1653460157269	-0.18359	0.23633	3.88477
1653460157329	-0.20605	0.25195	3.89404
1653460157390	-0.17334	0.21191	3.88867
1653460157420	-0.20459	0.24316	3.83887
1653460157479	-0.21631	0.20117	3.87451
1653460157524	-0.19141	0.25195	3.89551
1653460157570	-0.19775	0.20801	3.87305
1653460157629	-0.19531	0.22168	3.89209
1653460157674	-0.20215	0.23389	3.86670
1653460157719	-0.18896	0.24170	3.86768
1653460157779	-0.22266	0.22559	3.88623
1653460157824	-0.18359	0.22998	3.86182
1653460157870	-0.20850	0.22559	3.88477
1653460157929	-0.20166	0.20996	3.89258
1653460157974	-0.20605	0.22705	3.89209
1653460158020	-0.17969	0.21875	3.88477
1653460158079	-0.20459	0.20654	3.87305
1653460158128	-0.20313	0.20508	3.89258
1653460158184	-0.20947	0.21875	3.91846
1653460158229	-0.20166	0.20508	3.87451
1653460158277	-0.19141	0.22314	3.87158
1653460158378	-0.19141	0.21338	3.86523
1653460158424	-0.18213	0.22314	3.88037
1653460158498	-0.19531	0.20996	3.87891
1653460158544	-0.20215	0.19824	3.88037
1653460158588	-0.17969	0.20996	3.88916
1653460158634	-0.18848	0.20508	3.86182
1653460158679	-0.21240	0.20313	3.89404
1653460158740	-0.17676	0.22559	3.86523
1653460158799	-0.19971	0.24707	3.87402
1653460158829	-0.21631	0.22314	3.89893
1653460158888	-0.19824	0.22168	3.87402
1653460158919	-0.21240	0.20654	3.89893
1653460158993	-0.21338	0.23486	3.88281
1653460159023	-0.21582	0.21436	3.88525
1653460159083	-0.20361	0.24023	3.88232
1653460159161	-0.19922	0.23633	3.89111
1653460159188	-0.19678	0.21191	3.88721
1653460159249	-0.17725	0.23486	3.86914
1653460159279	-0.18213	0.20508	3.87793
1653460159339	-0.20947	0.21338	3.88086
1653460159369	-0.19238	0.20020	3.85986
1653460159459	-0.17969	0.21191	3.91406
1653460159488	-0.20996	0.22803	3.88867
1653460159548	-0.19189	0.21338	3.87305
1653460159578	-0.19287	0.20654	3.87158
1653460159624	-0.18018	0.22803	3.87549
1653460159683	-0.19189	0.23486	3.89746
1653460159744	-0.18896	0.23877	3.88232
1653460159774	-0.18506	0.22803	3.87158
1653460159819	-0.17188	0.20801	3.88086
1653460159878	-0.18506	0.20117	3.88184
1653460159939	-0.18506	0.21191	3.87402
1653460160015	-0.19287	0.22314	3.86523
1653460160058	-0.19287	0.23389	3.88867
1653460160103	-0.18213	0.23389	3.87842
1653460160133	-0.21094	0.20654	3.87842
1653460160193	-0.19531	0.24316	3.91064
1653460160223	-0.21143	0.21631	3.86230
1653460160283	-0.19287	0.24023	3.89502
1653460160358	-0.19824	0.23193	3.87891
1653460160374	-0.19531	0.22314	3.86230
1653460160418	-0.19043	0.22168	3.84131
1653460160478	-0.21143	0.20654	3.87549
1653460160523	-0.18213	0.20508	3.87598
1653460160570	-0.18213	0.23193	3.89111
1653460160763	-0.17969	0.24023	3.90039
1653460160793	-0.20459	0.22559	3.90186
1653460161048	-0.20215	0.22803	3.89209
1653460161079	-0.20166	0.21875	3.88770
1653460161123	-0.18359	0.22314	3.89746
1653460161169	-0.21631	0.21631	3.86475
1653460161243	-0.19531	0.18799	3.87305
1653460161274	-0.21240	0.21338	3.90576
1653460161319	-0.20605	0.23389	3.89063
1653460161378	-0.20459	0.21875	3.86279
1653460161423	-0.19141	0.22803	3.90381
1653460161484	-0.20850	0.21484	3.89355
1653460161543	-0.20459	0.23389	3.87158
1653460161590	-0.16016	0.22168	3.87451
1653460161618	-0.19531	0.20654	3.86279
1653460161693	-0.19678	0.23877	3.89502
1653460161723	-0.18359	0.23389	3.89063
1653460161770	-0.21094	0.22168	3.86523
1653460161828	-0.19678	0.22314	3.86768
1653460161873	-0.18896	0.24316	3.86475
1653460161919	-0.17529	0.22168	3.88916
1653460161978	-0.18604	0.20508	3.86670
1653460162024	-0.18213	0.20654	3.89404
1653460162068	-0.19775	0.24023	3.88916
1653460162143	-0.19043	0.22705	3.86914
1653460162175	-0.16895	0.22705	3.90039
1653460162219	-0.19678	0.23877	3.88477
1653460162278	-0.20166	0.21338	3.87598
1653460162324	-0.17188	0.21191	3.87842
1653460162369	-0.22803	0.23486	3.85645
1653460162428	-0.20459	0.20996	3.87842
1653460162473	-0.20459	0.22314	3.87598
1653460162519	-0.18604	0.23389	3.87451
1653460162579	-0.18604	0.22314	3.86035
1653460162639	-0.19678	0.21875	3.85840
1653460162669	-0.20459	0.24854	3.87158
1653460162743	-0.21777	0.23486	3.86963
1653460162774	-0.19775	0.22314	3.87842
1653460162820	-0.18359	0.20801	3.86816
1653460162878	-0.18506	0.23193	3.86475
1653460162938	-0.20166	0.23193	3.86035
1653460162983	-0.17676	0.25195	3.87598
1653460163043	-0.19775	0.22314	3.86670
1653460163073	-0.18506	0.21631	3.89258
1653460163119	-0.18604	0.23193	3.86279
1653460163178	-0.18506	0.22803	3.86035
1653460163223	-0.20410	0.22803	3.87891
1653460163269	-0.19043	0.21973	3.86768
1653460163329	-0.19775	0.22559	3.90039
1653460163374	-0.17529	0.19971	3.88232
1653460163419	-0.19287	0.18799	3.90576
1653460163493	-0.18848	0.23193	3.85889
1653460163523	-0.19043	0.22021	3.90186
1653460163569	-0.19531	0.18506	3.87402
1653460163628	-0.21143	0.23389	3.84668
1653460163673	-0.18213	0.20996	3.87939
1653460163733	-0.20459	0.18262	3.87939
1653460163778	-0.17725	0.24023	3.88428
1653460163839	-0.18506	0.23389	3.87109
1653460163904	-0.19678	0.22559	3.87256
1653460163959	-0.19287	0.24170	3.90186
1653460164019	-0.17529	0.19971	3.88867
1653460164109	-0.19287	0.23389	3.88428
1653460164139	-0.16553	0.23389	3.86865
1653460164184	-0.20996	0.19824	3.88525
1653460164228	-0.20850	0.21875	3.88428
1653460164274	-0.17871	0.22705	3.88086
1653460164319	-0.18213	0.22705	3.86084
1653460164378	-0.21533	0.22168	3.87549
1653460164468	-0.20459	0.21191	3.88574
1653460164528	-0.18652	0.20313	3.85986
1653460164573	-0.18506	0.23486	3.87158
1653460164635	-0.20996	0.23486	3.89063
1653460164678	-0.18652	0.23486	3.88721
1653460164724	-0.20459	0.22998	3.88232
1653460164800	-0.20605	0.20313	3.86670
1653460164829	-0.20605	0.22803	3.88477
1653460164873	-0.18506	0.21484	3.87598
1653460164935	-0.20850	0.21631	3.85596
1653460164978	-0.18018	0.20801	3.88525
1653460165038	-0.19678	0.19824	3.87158
1653460165069	-0.18652	0.19629	3.89355
1653460165128	-0.16553	0.19971	3.90332
1653460165173	-0.20996	0.24023	3.88867
1653460165218	-0.20850	0.23486	3.86182
1653460165279	-0.17676	0.20508	3.86670
1653460165338	-0.17529	0.20654	3.87891
1653460165428	-0.20850	0.23486	3.90137
1653460165443	-0.19922	0.22314	3.89404
1653460165563	-0.20459	0.23877	3.86279
1653460165595	-0.18896	0.20313	3.91406
1653460165923	-0.19971	0.22559	3.90332
1653460165970	-0.19971	0.22314	3.87744
1653460166163	-0.18213	0.22705	3.85303
1653460166332	-0.20996	0.21191	3.87598
1653460166374	-0.19678	0.22314	3.85889
1653460166448	-0.20605	0.19971	3.87939
1653460166478	-0.19775	0.22314	3.89111
1653460166523	-0.19043	0.22021	3.87158
1653460166569	-0.18652	0.20117	3.88086
1653460166628	-0.18994	0.22021	3.87451
1653460166673	-0.19043	0.22803	3.88867
1653460166719	-0.19287	0.21338	3.87891
1653460166778	-0.18359	0.19629	3.88428
1653460166823	-0.18652	0.20117	3.86279
1653460166883	-0.19287	0.21631	3.89502
1653460166928	-0.20996	0.21631	3.86426
1653460167020	-0.19287	0.21631	3.89063
1653460167078	-0.18262	0.20801	3.87305
1653460167123	-0.21533	0.23877	3.87988
1653460167169	-0.18652	0.22021	3.85986
1653460167231	-0.19287	0.19629	3.86914
1653460167273	-0.18604	0.21338	3.86279
1653460167318	-0.19287	0.24170	3.87891
1653460167393	-0.20605	0.18262	3.88428
1653460167424	-0.18506	0.21191	3.86865
1653460167514	-0.20605	0.22705	3.86230
1653460167543	-0.18848	0.24023	3.90137
1653460167574	-0.17871	0.21631	3.86279
1653460167618	-0.18994	0.20313	3.87305
1653460167694	-0.17969	0.19482	3.89404
1653460167768	-0.15527	0.21387	3.87402
1653460167843	-0.17334	0.22559	3.86865
1653460167874	-0.20361	0.23193	3.88672
1653460167918	-0.20215	0.21631	3.88184
1653460167978	-0.18652	0.20313	3.90820
1653460168053	-0.17529	0.19629	3.86133
1653460168069	-0.19824	0.24707	3.85840
1653460168158	-0.16895	0.21338	3.89209
1653460168188	-0.18652	0.22998	3.89502
1653460168220	-0.18359	0.24023	3.90186
1653460168277	-0.19678	0.20996	3.86670
1653460168368	-0.17822	0.20996	3.87451
1653460168428	-0.18359	0.21631	3.88184
1653460168533	-0.19189	0.22168	3.88037
1653460168593	-0.20313	0.20508	3.86816
1653460168624	-0.20313	0.22705	3.87451
1653460168668	-0.16211	0.21484	3.85352
1653460168728	-0.19141	0.21484	3.86182
1653460168788	-0.20850	0.22168	3.87451
1653460168820	-0.20850	0.22021	3.87305
1653460168878	-0.18018	0.20654	3.86768
1653460168924	-0.17725	0.21875	3.88721
1653460168969	-0.18604	0.23389	3.87305
1653460169028	-0.17334	0.21875	3.85986
1653460169074	-0.19678	0.24854	3.85986
1653460169163	-0.21289	0.21631	3.86914
1653460169178	-0.18018	0.22021	3.88232
1653460169223	-0.17041	0.22998	3.87256
1653460169269	-0.18896	0.20801	3.89014
1653460169329	-0.18213	0.22021	3.90039
1653460169419	-0.16553	0.20996	3.85645
1653460169570	-0.18213	0.18262	3.86670
1653460169658	-0.18213	0.20508	3.86133
1653460169718	-0.17969	0.20996	3.86670
1653460169781	-0.20996	0.22021	3.86230
1653460169825	-0.18213	0.21484	3.85596
1653460169913	-0.18213	0.21631	3.89111
1653460169958	-0.18506	0.21484	3.88086
1653460169974	-0.19971	0.22803	3.86768
1653460170019	-0.19287	0.22168	3.86768
1653460170078	-0.19287	0.23877	3.91309
1653460170122	-0.17529	0.22314	3.88086
1653460170169	-0.19043	0.22998	3.88232
1653460170228	-0.17822	0.23877	3.86670
1653460170273	-0.20361	0.20313	3.89355
1653460170318	-0.20313	0.19629	3.85205
1653460170408	-0.20215	0.19971	3.86768
1653460170438	-0.19287	0.22314	3.87891
1653460170483	-0.18506	0.23486	3.90771
1653460170528	-0.18213	0.19824	3.88672
1653460170588	-0.20605	0.23193	3.89209
1653460170618	-0.16553	0.21631	3.87158
1653460170694	-0.18652	0.19482	3.87109
1653460170723	-0.20215	0.22168	3.85596
1653460170769	-0.19678	0.21338	3.88184
1653460170843	-0.19678	0.22021	3.87939
1653460170888	-0.18213	0.21484	3.88867
1653460170923	-0.18994	0.21338	3.86963
1653460171011	-0.22266	0.22998	3.89404
1653460171023	-0.17334	0.20996	3.87939
1653460171113	-0.20166	0.20508	3.84717
1653460171128	-0.19775	0.22314	3.91064
1653460171173	-0.19727	0.21533	3.88770
1653460171248	-0.21143	0.20654	3.85449
1653460171278	-0.18359	0.23633	3.88428
1653460171323	-0.19824	0.23633	3.89209
1653460171384	-0.16357	0.22021	3.87549
1653460171428	-0.17676	0.20508	3.87451
1653460171473	-0.20947	0.20117	3.88086
1653460171519	-0.17041	0.20996	3.87842
1653460171578	-0.18262	0.20947	3.85889
1653460171624	-0.18018	0.22168	3.87549
1653460171668	-0.19678	0.22559	3.88525
1653460171728	-0.19043	0.22168	3.88232
1653460171789	-0.18359	0.22314	3.88770
1653460171818	-0.19678	0.22803	3.89551
1653460171878	-0.18994	0.22314	3.90576
1653460171923	-0.18652	0.22559	3.89746
1653460171970	-0.18848	0.24316	3.87842
1653460172028	-0.17529	0.21484	3.88721
1653460172075	-0.18652	0.22168	3.87793
1653460172133	-0.18604	0.23389	3.89258
1653460172178	-0.18652	0.19482	3.86230
1653460172223	-0.21143	0.25684	3.88379
1653460172268	-0.19678	0.23389	3.87549
1653460172358	-0.19531	0.21191	3.88232
1653460172374	-0.19678	0.22998	3.91650
1653460172419	-0.18506	0.20508	3.86914
1653460172478	-0.19922	0.21484	3.92627
1653460172524	-0.18652	0.19189	3.89209
1653460172569	-0.19141	0.24561	3.89404
1653460172627	-0.16016	0.23193	3.89844
1653460172673	-0.21533	0.19482	3.89990
1653460172718	-0.18213	0.21875	3.86182
1653460172778	-0.18848	0.20801	3.89404
1653460172823	-0.19775	0.23877	3.86816
1653460172868	-0.21777	0.22803	3.86963
1653460172930	-0.16406	0.22021	3.90039
1653460172974	-0.17529	0.22705	3.86963
1653460173019	-0.21143	0.24561	3.87305
1653460173078	-0.18652	0.23486	3.87744
1653460173123	-0.15381	0.18262	3.84961
1653460173184	-0.19043	0.22705	3.86621
1653460173228	-0.19824	0.22021	3.86230
1653460173273	-0.18213	0.20508	3.87842
1653460173318	-0.20215	0.21875	3.86133
1653460173393	-0.18018	0.20801	3.88428
1653460173424	-0.19531	0.21191	3.87891
1653460173468	-0.16895	0.21631	3.91797
1653460173543	-0.17334	0.21875	3.86621
1653460173574	-0.18359	0.22021	3.86279
1653460173634	-0.18213	0.22314	3.86035
1653460173693	-0.17725	0.22314	3.87256
1653460173738	-0.19824	0.22803	3.88672
1653460173769	-0.20215	0.19824	3.86914
1653460173843	-0.17822	0.22705	3.85498
1653460173877	-0.19775	0.21631	3.90234
1653460173933	-0.18506	0.22559	3.88477
1653460173979	-0.18213	0.24316	3.85645
1653460174023	-0.17822	0.21191	3.86523
1653460174068	-0.18652	0.21338	3.87549
1653460174128	-0.20605	0.23193	3.85791
1653460174174	-0.18506	0.23193	3.85645
1653460174218	-0.18018	0.22021	3.89355
1653460174292	-0.18604	0.18115	3.83936
1653460174323	-0.20215	0.21191	3.86621
1653460174373	-0.18896	0.22314	3.87939
1653460174427	-0.18213	0.22314	3.89355
1653460174503	-0.17822	0.21875	3.87939
1653460174519	-0.18848	0.22559	3.88086
1653460174593	-0.18213	0.19482	3.90381
1653460174624	-0.20215	0.21631	3.88184
1653460174669	-0.18896	0.20801	3.88037
1653460174728	-0.17529	0.24170	3.89844
1653460174774	-0.17334	0.23633	3.87402
1653460174819	-0.18896	0.21191	3.86768
1653460174878	-0.17041	0.21631	3.88818
1653460174923	-0.20605	0.20996	3.89160
1653460174969	-0.19824	0.18945	3.90674
1653460175059	-0.19531	0.21631	3.87744
1653460175074	-0.19287	0.21875	3.89209
1653460175163	-0.18018	0.21191	3.86230
1653460175178	-0.20996	0.23389	3.85352
1653460175223	-0.17871	0.22998	3.90527
1653460175314	-0.18506	0.21338	3.86133
1653460175343	-0.18213	0.21484	3.86670
1653460175388	-0.18652	0.20117	3.87939
1653460175433	-0.17188	0.19629	3.83936
1653460175493	-0.20850	0.19189	3.85352
1653460175523	-0.20459	0.20508	3.88086
1653460175599	-0.18896	0.20801	3.88037
